group,metric,mean,std,min,max
A_Baseline,start_price,102.53,0.0,102.53,102.53
A_Baseline,peak_price,272.606,1.8774,270.64,276.15
A_Baseline,final_price,261.158,2.0227,257.86,264.08
A_Baseline,price_change_pct,1.5471,0.0197,1.5149,1.5756
A_Baseline,max_drawdown,-0.0604,0.0076,-0.0704,-0.0488
A_Baseline,volatility,0.0115,0.0002,0.0112,0.0118
A_Baseline,avg_greed,0.3096,0.0,0.3096,0.3096
A_Baseline,avg_fear,0.2943,0.0,0.2943,0.2943
A_Baseline,emotion_amplification,0.0279,0.0,0.0279,0.0279
A_Baseline,avg_reflexivity_index,0.2584,0.0003,0.2579,0.2587
A_Baseline,peak_bubble_risk_score,0.0,0.0,0.0,0.0
A_Baseline,narrative_penetration,0.0,0.0,0.0,0.0
A_Baseline,belief_concentration,0.0068,0.0006,0.0062,0.0078
A_Baseline,capital_imbalance,0.0,0.0,0.0,0.0
B_Narrative_Only,start_price,102.53,0.0,102.53,102.53
B_Narrative_Only,peak_price,278.828,1.0931,276.93,280.12
B_Narrative_Only,final_price,261.442,2.4642,256.89,264.14
B_Narrative_Only,price_change_pct,1.5499,0.024,1.5055,1.5762
B_Narrative_Only,max_drawdown,-0.081,0.0027,-0.0839,-0.0764
B_Narrative_Only,volatility,0.0115,0.0002,0.0113,0.0117
B_Narrative_Only,avg_greed,0.3545,0.0,0.3545,0.3545
B_Narrative_Only,avg_fear,0.2835,0.0,0.2834,0.2835
B_Narrative_Only,emotion_amplification,0.7626,0.0,0.7626,0.7627
B_Narrative_Only,avg_reflexivity_index,0.2731,0.0002,0.2729,0.2734
B_Narrative_Only,peak_bubble_risk_score,0.0,0.0,0.0,0.0
B_Narrative_Only,narrative_penetration,0.0027,0.0,0.0027,0.0027
B_Narrative_Only,belief_concentration,0.0069,0.0004,0.0063,0.0074
B_Narrative_Only,capital_imbalance,0.0,0.0,0.0,0.0
C_Narrative_KOL,start_price,102.53,0.0,102.53,102.53
C_Narrative_KOL,peak_price,276.82,1.7486,273.84,278.94
C_Narrative_KOL,final_price,260.608,4.5052,251.97,264.94
C_Narrative_KOL,price_change_pct,1.5418,0.0439,1.4575,1.584
C_Narrative_KOL,max_drawdown,-0.0794,0.0026,-0.0839,-0.0759
C_Narrative_KOL,volatility,0.0116,0.0002,0.0112,0.0119
C_Narrative_KOL,avg_greed,0.3322,0.0,0.3321,0.3322
C_Narrative_KOL,avg_fear,0.2891,0.0,0.289,0.2891
C_Narrative_KOL,emotion_amplification,0.4916,0.0,0.4915,0.4916
C_Narrative_KOL,avg_reflexivity_index,0.2664,0.0003,0.2659,0.2666
C_Narrative_KOL,peak_bubble_risk_score,0.0001,0.0,0.0001,0.0002
C_Narrative_KOL,narrative_penetration,0.0013,0.0,0.0013,0.0013
C_Narrative_KOL,belief_concentration,0.0076,0.0004,0.0069,0.0083
C_Narrative_KOL,capital_imbalance,0.0,0.0,0.0,0.0
D_Full_Loop,start_price,102.53,0.0,102.53,102.53
D_Full_Loop,peak_price,276.342,1.3796,275.26,278.93
D_Full_Loop,final_price,262.156,1.5551,260.19,264.28
D_Full_Loop,price_change_pct,1.5568,0.0151,1.5377,1.5775
D_Full_Loop,max_drawdown,-0.0733,0.0034,-0.0777,-0.069
D_Full_Loop,volatility,0.0113,0.0001,0.0112,0.0115
D_Full_Loop,avg_greed,0.3321,0.0,0.3321,0.3321
D_Full_Loop,avg_fear,0.289,0.0,0.289,0.289
D_Full_Loop,emotion_amplification,0.4916,0.0001,0.4914,0.4917
D_Full_Loop,avg_reflexivity_index,0.2661,0.0001,0.266,0.2663
D_Full_Loop,peak_bubble_risk_score,0.0001,0.0,0.0001,0.0001
D_Full_Loop,narrative_penetration,0.0013,0.0,0.0013,0.0013
D_Full_Loop,belief_concentration,0.0072,0.0004,0.0067,0.0079
D_Full_Loop,capital_imbalance,0.0,0.0,0.0,0.0
