ablation,seed,peak_bubble_risk,bubble_high_risk_steps,manipulation_high_risk_steps,max_drawdown,peak_price,final_price
full,0,0.3982,19,0,0.0,141.3,141.3
full,1,0.3618,16,0,0.0,145.07,145.07
full,2,0.3923,19,0,-1.14,143.71,142.07
full,3,0.3817,19,0,-0.05,142.77,142.7
full,4,0.4465,25,0,-0.97,142.58,141.19
no_emotion,0,0.9077,41,0,-2.14,147.81,144.64
no_emotion,1,0.8642,39,0,0.0,148.56,148.56
no_emotion,2,0.9221,42,0,-3.97,151.44,145.44
no_emotion,3,0.8893,41,0,-1.15,147.96,146.26
no_emotion,4,1.0,42,0,-4.6,151.79,144.81
no_kol,0,0.0,0,0,0.0,142.08,142.08
no_kol,1,0.0,0,0,-0.67,142.83,141.87
no_kol,2,0.0,0,0,-1.37,142.19,140.24
no_kol,3,0.0,0,0,0.0,142.5,142.5
no_kol,4,0.0,0,0,-0.42,143.8,143.2
no_regulation,0,0.3982,19,0,0.0,141.3,141.3
no_regulation,1,0.3618,16,0,0.0,145.07,145.07
no_regulation,2,0.3923,19,0,-1.14,143.71,142.07
no_regulation,3,0.3817,19,0,-0.05,142.77,142.7
no_regulation,4,0.4465,25,0,-0.97,142.58,141.19
