scenario_id,scenario_name,category,seed,condition,passed,fail_reason,peak_price,final_price,max_drawdown,peak_bubble_risk,bubble_high_risk_steps,peak_manipulation_risk,manipulation_high_risk_steps,panic_high_risk_steps,overall_high_risk_steps,intervention_count,event_count
A01,positive_narrative_bubble,core_mechanism,0,default,True,,107.79,100.0,-7.23,0.365,12,,0,0,12,0,254
A01,positive_narrative_bubble,core_mechanism,1,default,True,,107.79,100.0,-7.23,0.3293,6,,0,0,6,0,254
A01,positive_narrative_bubble,core_mechanism,2,default,True,,107.79,100.0,-7.23,0.3575,11,,0,0,11,0,254
A01,positive_narrative_bubble,core_mechanism,3,default,True,,107.79,100.0,-7.23,0.3481,11,,0,0,11,0,254
A01,positive_narrative_bubble,core_mechanism,4,default,True,,107.79,100.0,-7.23,0.404,15,,0,0,15,0,254
A01,positive_narrative_bubble,core_mechanism,5,default,True,,107.79,100.0,-7.23,0.374,14,,0,0,14,0,254
A01,positive_narrative_bubble,core_mechanism,6,default,True,,107.79,100.0,-7.23,0.3961,15,,0,0,15,0,254
A01,positive_narrative_bubble,core_mechanism,7,default,True,,107.79,100.0,-7.23,0.4168,15,,0,0,15,0,254
A01,positive_narrative_bubble,core_mechanism,8,default,True,,107.79,100.0,-7.23,0.3682,12,,0,0,12,0,254
A01,positive_narrative_bubble,core_mechanism,9,default,True,,107.79,100.0,-7.23,0.3738,12,,0,0,12,0,254
A02,negative_regulatory_panic,core_mechanism,0,default,True,,107.79,102.54,-4.87,0.2717,0,,0,0,0,0,261
A02,negative_regulatory_panic,core_mechanism,1,default,True,,107.79,102.69,-4.73,0.2452,0,,0,0,0,0,261
A02,negative_regulatory_panic,core_mechanism,2,default,True,,107.79,94.93,-11.93,0.2671,0,,0,0,0,0,260
A02,negative_regulatory_panic,core_mechanism,3,default,True,,107.79,98.86,-8.29,0.2579,0,,0,0,0,0,263
A02,negative_regulatory_panic,core_mechanism,4,default,True,,107.79,101.24,-6.08,0.3019,2,,0,0,2,0,264
A02,negative_regulatory_panic,core_mechanism,5,default,True,,107.79,98.95,-8.2,0.2796,0,,0,0,0,0,263
A02,negative_regulatory_panic,core_mechanism,6,default,True,,107.79,102.6,-4.82,0.2969,0,,0,0,0,0,261
A02,negative_regulatory_panic,core_mechanism,7,default,True,,107.79,106.01,-1.65,0.3126,5,,0,0,5,0,262
A02,negative_regulatory_panic,core_mechanism,8,default,True,,107.79,100.65,-6.62,0.2719,0,,0,0,0,0,260
A02,negative_regulatory_panic,core_mechanism,9,default,True,,107.79,96.18,-10.77,0.2794,0,,0,0,0,0,261
A03,narrative_reversal,core_mechanism,0,default,True,,107.79,105.13,-2.47,0.5036,6,,0,0,6,0,383
A03,narrative_reversal,core_mechanism,1,default,True,,107.79,95.12,-11.75,0.5153,5,,0,0,5,0,384
A03,narrative_reversal,core_mechanism,2,default,True,,107.79,100.0,-7.23,0.5049,5,,0,0,5,0,383
A03,narrative_reversal,core_mechanism,3,default,True,,107.79,95.58,-11.33,0.5399,6,,0,0,6,0,384
A03,narrative_reversal,core_mechanism,4,default,True,,107.79,105.13,-2.47,0.572,12,,0,0,12,0,383
A03,narrative_reversal,core_mechanism,5,default,True,,107.79,105.13,-2.47,0.5212,7,,0,0,7,0,383
A03,narrative_reversal,core_mechanism,6,default,True,,107.79,105.13,-2.47,0.57,12,,0,0,12,0,383
A03,narrative_reversal,core_mechanism,7,default,True,,107.79,95.12,-11.75,0.527,22,,0,0,22,0,380
A03,narrative_reversal,core_mechanism,8,default,True,,107.79,105.13,-2.47,0.506,7,,0,0,7,0,383
A03,narrative_reversal,core_mechanism,9,default,True,,107.79,105.13,-2.47,0.529,7,,0,0,7,0,383
B01,high_trust_propagation,trust_mechanism,0,default,True,,107.79,100.0,-7.23,0.324,4,,0,0,4,0,252
B01,high_trust_propagation,trust_mechanism,1,default,True,,107.79,100.0,-7.23,0.2851,0,,0,0,0,0,252
B01,high_trust_propagation,trust_mechanism,2,default,True,,107.79,100.0,-7.23,0.3142,3,,0,0,3,0,252
B01,high_trust_propagation,trust_mechanism,3,default,True,,107.79,100.0,-7.23,0.3102,2,,0,0,2,0,252
B01,high_trust_propagation,trust_mechanism,4,default,True,,107.79,100.0,-7.23,0.378,13,,0,0,13,0,252
B01,high_trust_propagation,trust_mechanism,5,default,True,,107.79,100.0,-7.23,0.342,11,,0,0,11,0,252
B01,high_trust_propagation,trust_mechanism,6,default,True,,107.79,100.0,-7.23,0.3606,13,,0,0,13,0,252
B01,high_trust_propagation,trust_mechanism,7,default,True,,107.79,100.0,-7.23,0.3838,13,,0,0,13,0,252
B01,high_trust_propagation,trust_mechanism,8,default,True,,107.79,100.0,-7.23,0.3393,10,,0,0,10,0,252
B01,high_trust_propagation,trust_mechanism,9,default,True,,107.79,100.0,-7.23,0.3478,10,,0,0,10,0,252
B02,low_trust_failure,trust_mechanism,0,default,True,,107.79,95.12,-11.75,0.0322,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,1,default,True,,107.79,95.12,-11.75,0.0253,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,2,default,True,,107.79,95.12,-11.75,0.032,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,3,default,True,,107.79,95.12,-11.75,0.0358,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,4,default,True,,107.79,95.12,-11.75,0.0541,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,5,default,True,,107.79,95.12,-11.75,0.0421,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,6,default,True,,107.79,95.12,-11.75,0.0517,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,7,default,True,,107.79,95.12,-11.75,0.0585,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,8,default,True,,107.79,95.12,-11.75,0.0448,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,9,default,True,,107.79,95.12,-11.75,0.0245,0,,0,0,0,0,250
C01,self_validation_loop,reflexivity,0,default,True,,107.79,105.13,-2.47,0.3554,9,,0,0,9,0,315
C01,self_validation_loop,reflexivity,1,default,True,,107.79,105.13,-2.47,0.3199,4,,0,0,4,0,315
C01,self_validation_loop,reflexivity,2,default,True,,107.79,105.13,-2.47,0.3516,9,,0,0,9,0,315
C01,self_validation_loop,reflexivity,3,default,True,,107.79,105.13,-2.47,0.342,9,,0,0,9,0,315
C01,self_validation_loop,reflexivity,4,default,True,,107.79,105.13,-2.47,0.4056,19,,0,0,19,0,315
C01,self_validation_loop,reflexivity,5,default,True,,107.79,105.13,-2.47,0.3786,14,,0,0,14,0,315
C01,self_validation_loop,reflexivity,6,default,True,,107.79,105.13,-2.47,0.3964,17,,0,0,17,0,315
C01,self_validation_loop,reflexivity,7,default,True,,107.79,105.13,-2.47,0.4202,21,,0,0,21,0,315
C01,self_validation_loop,reflexivity,8,default,True,,107.79,105.13,-2.47,0.3732,12,,0,0,12,0,315
C01,self_validation_loop,reflexivity,9,default,True,,107.79,105.13,-2.47,0.3735,12,,0,0,12,0,315
C02,bubble_burst,reflexivity,0,default,True,,107.79,105.46,-2.16,0.5233,18,,0,0,18,0,386
C02,bubble_burst,reflexivity,1,default,True,,107.79,100.0,-7.23,0.5118,9,,0,0,9,0,386
C02,bubble_burst,reflexivity,2,default,True,,107.79,105.33,-2.28,0.5264,17,,0,0,17,0,386
C02,bubble_burst,reflexivity,3,default,True,,107.79,105.13,-2.47,0.5082,16,,0,0,16,0,386
C02,bubble_burst,reflexivity,4,default,True,,107.79,100.0,-7.23,0.5547,19,,0,0,19,0,385
C02,bubble_burst,reflexivity,5,default,True,,107.79,105.54,-2.09,0.5493,19,,0,0,19,0,386
C02,bubble_burst,reflexivity,6,default,True,,107.79,95.12,-11.75,0.502,19,,0,0,19,0,384
C02,bubble_burst,reflexivity,7,default,True,,107.79,105.13,-2.47,0.5374,25,,0,0,25,0,382
C02,bubble_burst,reflexivity,8,default,True,,107.79,105.13,-2.47,0.5245,18,,0,0,18,0,386
C02,bubble_burst,reflexivity,9,default,True,,107.79,105.13,-2.47,0.5494,18,,0,0,18,0,386
D01,kol_coordination,risk_identification,0,default,True,,107.79,95.12,-11.75,0.2918,0,,0,0,0,0,252
D01,kol_coordination,risk_identification,1,default,True,,107.79,95.12,-11.75,0.257,0,,0,0,0,0,252
D01,kol_coordination,risk_identification,2,default,True,,107.79,95.12,-11.75,0.2825,0,,0,0,0,0,252
D01,kol_coordination,risk_identification,3,default,True,,107.79,95.12,-11.75,0.2791,0,,0,0,0,0,252
D01,kol_coordination,risk_identification,4,default,True,,107.79,95.12,-11.75,0.3444,8,,0,0,8,0,252
D01,kol_coordination,risk_identification,5,default,True,,107.79,95.12,-11.75,0.3094,4,,0,0,4,0,252
