scenario_id,scenario_name,category,seed,condition,passed,fail_reason,peak_price,final_price,max_drawdown,peak_bubble_risk,bubble_high_risk_steps,peak_manipulation_risk,manipulation_high_risk_steps,panic_high_risk_steps,overall_high_risk_steps,intervention_count,event_count
A01,positive_narrative_bubble,core_mechanism,0,default,True,,107.79,100.0,-7.23,0.365,12,,0,0,12,0,254
A01,positive_narrative_bubble,core_mechanism,1,default,True,,107.79,100.0,-7.23,0.3293,6,,0,0,6,0,254
A01,positive_narrative_bubble,core_mechanism,2,default,True,,107.79,100.0,-7.23,0.3575,11,,0,0,11,0,254
A02,negative_regulatory_panic,core_mechanism,0,default,True,,107.79,102.54,-4.87,0.2717,0,,0,0,0,0,261
A02,negative_regulatory_panic,core_mechanism,1,default,True,,107.79,102.69,-4.73,0.2452,0,,0,0,0,0,261
A02,negative_regulatory_panic,core_mechanism,2,default,True,,107.79,94.93,-11.93,0.2671,0,,0,0,0,0,260
A03,narrative_reversal,core_mechanism,0,default,True,,107.79,105.13,-2.47,0.5036,6,,0,0,6,0,383
A03,narrative_reversal,core_mechanism,1,default,True,,107.79,95.12,-11.75,0.5153,5,,0,0,5,0,384
A03,narrative_reversal,core_mechanism,2,default,True,,107.79,100.0,-7.23,0.5049,5,,0,0,5,0,383
A04,multi_narrative_competition,core_mechanism,0,default,True,,105.13,100.0,-4.88,0.3109,3,,0,0,3,0,316
A04,multi_narrative_competition,core_mechanism,1,default,True,,105.13,100.0,-4.88,0.2738,0,,0,0,0,0,316
A04,multi_narrative_competition,core_mechanism,2,default,True,,105.13,100.0,-4.88,0.2972,0,,0,0,0,0,316
A05,delayed_propagation,core_mechanism,0,default,True,,107.79,95.12,-11.75,0.3058,1,,0,0,1,0,379
A05,delayed_propagation,core_mechanism,1,default,True,,107.79,95.12,-11.75,0.2501,0,,0,0,0,0,379
A05,delayed_propagation,core_mechanism,2,default,True,,107.79,95.12,-11.75,0.2973,0,,0,0,0,0,379
A06,low_credibility_rumor_failure,core_mechanism,0,default,True,,105.13,100.0,-4.88,0.0093,0,,0,0,0,0,251
A06,low_credibility_rumor_failure,core_mechanism,1,default,True,,105.13,100.0,-4.88,0.007,0,,0,0,0,0,251
A06,low_credibility_rumor_failure,core_mechanism,2,default,True,,105.13,100.0,-4.88,0.0071,0,,0,0,0,0,251
A07,narrative_fatigue,core_mechanism,0,default,True,,105.13,100.0,-4.88,0.3705,11,,0,0,11,0,315
A07,narrative_fatigue,core_mechanism,1,default,True,,105.13,100.0,-4.88,0.3467,10,,0,0,10,0,315
A07,narrative_fatigue,core_mechanism,2,default,True,,105.13,100.0,-4.88,0.3718,11,,0,0,11,0,315
A08,contrarian_anchor,core_mechanism,0,default,True,,105.13,100.0,-4.88,0.217,0,,0,0,0,0,252
A08,contrarian_anchor,core_mechanism,1,default,True,,105.13,100.0,-4.88,0.1881,0,,0,0,0,0,252
A08,contrarian_anchor,core_mechanism,2,default,True,,105.13,100.0,-4.88,0.2036,0,,0,0,0,0,252
B01,high_trust_propagation,trust_mechanism,0,default,True,,107.79,100.0,-7.23,0.324,4,,0,0,4,0,252
B01,high_trust_propagation,trust_mechanism,1,default,True,,107.79,100.0,-7.23,0.2851,0,,0,0,0,0,252
B01,high_trust_propagation,trust_mechanism,2,default,True,,107.79,100.0,-7.23,0.3142,3,,0,0,3,0,252
B02,low_trust_failure,trust_mechanism,0,default,True,,107.79,95.12,-11.75,0.0322,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,1,default,True,,107.79,95.12,-11.75,0.0253,0,,0,0,0,0,250
B02,low_trust_failure,trust_mechanism,2,default,True,,107.79,95.12,-11.75,0.032,0,,0,0,0,0,250
B03,trust_collapse_after_false_prediction,trust_mechanism,0,default,True,,107.79,103.37,-4.1,0.3875,19,,0,0,19,0,387
B03,trust_collapse_after_false_prediction,trust_mechanism,1,default,True,,107.79,96.97,-10.04,0.3542,14,,0,0,14,0,385
B03,trust_collapse_after_false_prediction,trust_mechanism,2,default,True,,107.79,95.03,-11.84,0.3903,18,,0,0,18,0,385
B04,trust_recovery,trust_mechanism,0,default,True,,139.63,100.89,-27.75,0.8367,45,,0,0,45,0,502
B04,trust_recovery,trust_mechanism,1,default,True,,141.19,94.64,-32.97,0.7953,41,,0,0,41,0,500
B04,trust_recovery,trust_mechanism,2,default,True,,139.59,100.36,-28.11,0.8465,46,,0,0,46,0,503
B05,trust_competition,trust_mechanism,0,default,True,,106.75,96.59,-9.52,0.2896,0,,0,0,0,0,291
B05,trust_competition,trust_mechanism,1,default,True,,107.16,99.41,-7.23,0.2614,0,,0,0,0,0,286
B05,trust_competition,trust_mechanism,2,default,True,,106.89,96.72,-9.52,0.298,0,,0,0,0,0,290
C01,self_validation_loop,reflexivity,0,default,True,,107.79,105.13,-2.47,0.3554,9,,0,0,9,0,315
C01,self_validation_loop,reflexivity,1,default,True,,107.79,105.13,-2.47,0.3199,4,,0,0,4,0,315
C01,self_validation_loop,reflexivity,2,default,True,,107.79,105.13,-2.47,0.3516,9,,0,0,9,0,315
C02,bubble_burst,reflexivity,0,default,True,,107.79,105.46,-2.16,0.5233,18,,0,0,18,0,386
C02,bubble_burst,reflexivity,1,default,True,,107.79,100.0,-7.23,0.5118,9,,0,0,9,0,386
C02,bubble_burst,reflexivity,2,default,True,,107.79,105.33,-2.28,0.5264,17,,0,0,17,0,386
C03,price_narrative_divergence,reflexivity,0,default,True,,105.13,100.0,-4.88,0.2778,0,,0,0,0,0,315
C03,price_narrative_divergence,reflexivity,1,default,True,,105.13,100.0,-4.88,0.2447,0,,0,0,0,0,315
C03,price_narrative_divergence,reflexivity,2,default,True,,105.13,100.0,-4.88,0.2697,0,,0,0,0,0,315
C04,slow_bubble,reflexivity,0,default,True,,105.13,95.12,-9.52,0.2436,0,,0,0,0,0,474
C04,slow_bubble,reflexivity,1,default,True,,105.13,95.12,-9.52,0.1946,0,,0,0,0,0,474
C04,slow_bubble,reflexivity,2,default,True,,105.13,95.12,-9.52,0.2384,0,,0,0,0,0,474
C05,flash_crash,reflexivity,0,default,True,,120.0,94.42,-21.32,0.096,0,,0,0,0,0,259
C05,flash_crash,reflexivity,1,default,True,,120.0,103.71,-13.58,0.0833,0,,0,0,0,0,261
C05,flash_crash,reflexivity,2,default,True,,120.0,103.28,-13.93,0.0913,0,,0,0,0,0,258
C06,negative_reflexivity_spiral,reflexivity,0,default,True,,106.41,96.28,-9.52,0.2803,0,,0,0,0,0,324
C06,negative_reflexivity_spiral,reflexivity,1,default,False,max_drawdown_min,104.93,104.93,-0.0,0.2479,0,,0,0,0,0,322
C06,negative_reflexivity_spiral,reflexivity,2,default,True,,106.99,96.81,-9.52,0.2985,0,,0,0,0,0,320
D01,kol_coordination,risk_identification,0,default,True,,107.79,95.12,-11.75,0.2918,0,,0,0,0,0,252
D01,kol_coordination,risk_identification,1,default,True,,107.79,95.12,-11.75,0.257,0,,0,0,0,0,252
D01,kol_coordination,risk_identification,2,default,True,,107.79,95.12,-11.75,0.2825,0,,0,0,0,0,252
D02,fomo_surge,risk_identification,0,default,True,,144.79,142.28,-1.73,0.6025,34,,0,0,34,0,297
D02,fomo_surge,risk_identification,1,default,True,,146.16,146.16,0.0,0.5485,24,,0,0,24,0,297
D02,fomo_surge,risk_identification,2,default,True,,144.87,143.05,-1.26,0.6182,31,,0,0,31,0,297
D03,price_narrative_self_validation,risk_identification,0,default,True,,146.86,146.75,-0.08,0.4062,16,,0,0,16,0,357
D03,price_narrative_self_validation,risk_identification,1,default,True,,149.66,146.46,-2.14,0.3607,13,,0,0,13,0,357
D03,price_narrative_self_validation,risk_identification,2,default,True,,148.7,145.48,-2.17,0.3925,16,,0,0,16,0,357
D04,abnormal_trust_building,risk_identification,0,default,True,,105.13,100.0,-4.88,0.3393,7,,0,0,7,0,253
D04,abnormal_trust_building,risk_identification,1,default,True,,105.13,100.0,-4.88,0.3064,1,,0,0,1,0,253
D04,abnormal_trust_building,risk_identification,2,default,True,,105.13,100.0,-4.88,0.3338,7,,0,0,7,0,253
D05,neutral_news_false_positive,risk_identification,0,default,True,,106.75,101.54,-4.88,0.0113,0,,0,0,0,0,257
D05,neutral_news_false_positive,risk_identification,1,default,True,,104.51,104.51,-0.0,0.007,0,,0,0,0,0,251
D05,neutral_news_false_positive,risk_identification,2,default,True,,106.89,96.72,-9.52,0.0071,0,,0,0,0,0,255
D06,stealth_manipulation,risk_identification,0,default,True,,105.13,105.13,0.0,0.4898,31,,0,0,31,0,287
D06,stealth_manipulation,risk_identification,1,default,True,,105.13,105.13,0.0,0.4422,28,,0,0,28,0,287
D06,stealth_manipulation,risk_identification,2,default,True,,107.79,100.0,-7.23,0.9966,57,,0,0,57,0,316
