scenario_id,scenario_name,category,seed,condition,passed,fail_reason,peak_price,final_price,max_drawdown,peak_bubble_risk,bubble_high_risk_steps,peak_manipulation_risk,manipulation_high_risk_steps,panic_high_risk_steps,overall_high_risk_steps,intervention_count,event_count
A01,positive_narrative_bubble,core_mechanism,42,default,True,,107.79,100.0,-7.23,0.3554,12,,0,0,12,0,254
A02,negative_regulatory_panic,core_mechanism,42,default,True,,107.79,102.39,-5.01,0.2622,0,,0,0,0,0,261
A03,narrative_reversal,core_mechanism,42,default,True,,107.79,106.07,-1.59,0.5507,6,,0,0,6,0,386
A04,multi_narrative_competition,core_mechanism,42,default,True,,105.13,100.0,-4.88,0.3041,1,,0,0,1,0,316
A05,delayed_propagation,core_mechanism,42,default,True,,107.79,95.12,-11.75,0.2843,0,,0,0,0,0,379
A06,low_credibility_rumor_failure,core_mechanism,42,default,True,,105.13,100.0,-4.88,0.0098,0,,0,0,0,0,251
B01,high_trust_propagation,trust_mechanism,42,default,True,,107.79,100.0,-7.23,0.3147,3,,0,0,3,0,252
B02,low_trust_failure,trust_mechanism,42,default,True,,107.79,95.12,-11.75,0.0371,0,,0,0,0,0,250
B03,trust_collapse_after_false_prediction,trust_mechanism,42,default,True,,107.79,100.9,-6.39,0.3839,18,,0,0,18,0,386
B04,trust_recovery,trust_mechanism,42,default,True,,141.71,101.17,-28.61,0.8414,45,,0,0,45,0,505
C01,self_validation_loop,reflexivity,42,default,True,,107.79,105.13,-2.47,0.3442,8,,0,0,8,0,315
C02,bubble_burst,reflexivity,42,default,True,,107.79,105.13,-2.47,0.515,17,,0,0,17,0,386
C03,price_narrative_divergence,reflexivity,42,default,True,,105.13,100.0,-4.88,0.2688,0,,0,0,0,0,315
C04,slow_bubble,reflexivity,42,default,True,,105.13,95.12,-9.52,0.2291,0,,0,0,0,0,474
C05,flash_crash,reflexivity,42,default,True,,120.0,103.91,-13.41,0.0924,0,,0,0,0,0,261
D01,kol_coordination,risk_identification,42,default,True,,107.79,95.12,-11.75,0.2837,0,,0,0,0,0,252
D02,fomo_surge,risk_identification,42,default,True,,147.23,144.59,-1.79,0.6028,33,,0,0,33,0,297
D03,price_narrative_self_validation,risk_identification,42,default,True,,148.55,147.32,-0.83,0.4002,16,,0,0,16,0,357
D04,abnormal_trust_building,risk_identification,42,default,True,,105.13,100.0,-4.88,0.3275,7,,0,0,7,0,253
D05,neutral_news_false_positive,risk_identification,42,default,True,,104.55,104.55,-0.0,0.0079,0,,0,0,0,0,251
E01,regulation_baseline,regulation,42,baseline,True,,150.38,146.75,-2.41,0.7025,45,,0,0,45,0,756
E02,regulation_light,regulation,42,light,True,,107.79,105.52,-2.1,0.4843,36,,0,0,36,10,766
E03,regulation_strong,regulation,42,strong,True,,107.79,101.37,-5.95,0.4843,21,,0,0,21,20,776
E04,over_regulation_panic,regulation,42,default,False,intervention_count_min,107.79,95.12,-11.75,0.1362,0,,0,0,0,0,376
E05,late_regulation_failure,regulation,42,default,True,,140.61,95.95,-31.76,0.5045,26,,0,0,26,10,464
