scenario,metric,mean,std,min,max
normal_propagation,avg_reflexivity_index,0.2582,0.0002,0.2579,0.2587
normal_propagation,bubble_risk_peak,0.0,0.0,0.0,0.0
normal_propagation,manipulation_detection_rate,0.0,0.0,0.0,0.0
normal_propagation,peak_manipulation_risk,0.105,0.0,0.105,0.105
coordinated_kol,avg_reflexivity_index,0.2789,0.001,0.2771,0.2808
coordinated_kol,bubble_risk_peak,0.0921,0.0081,0.0761,0.1072
coordinated_kol,manipulation_detection_rate,1.0,0.0,1.0,1.0
coordinated_kol,peak_manipulation_risk,0.504,0.0,0.504,0.504
fomo_surge,avg_reflexivity_index,0.2799,0.0011,0.278,0.2819
fomo_surge,bubble_risk_peak,0.1005,0.0088,0.0826,0.1168
fomo_surge,manipulation_detection_rate,1.0,0.0,1.0,1.0
fomo_surge,peak_manipulation_risk,0.696,0.0,0.696,0.696
narrative_reversal,avg_reflexivity_index,0.3031,0.0012,0.3011,0.3054
narrative_reversal,bubble_risk_peak,0.8354,0.0987,0.6674,1.0
narrative_reversal,manipulation_detection_rate,1.0,0.0,1.0,1.0
narrative_reversal,peak_manipulation_risk,0.333,0.0,0.333,0.333
regulatory_suppression,avg_reflexivity_index,0.2789,0.001,0.2771,0.2808
regulatory_suppression,bubble_risk_peak,0.0898,0.0079,0.074,0.1046
regulatory_suppression,manipulation_detection_rate,1.0,0.0,1.0,1.0
regulatory_suppression,peak_manipulation_risk,0.504,0.0,0.504,0.504
